Time (s);Linear Acceleration x (m/s^2);Linear Acceleration y (m/s^2);Linear Acceleration z (m/s^2);Absolute acceleration (m/s^2)
0,689442197;0,589999974;0,527999997;-0,647000015;1,022493514
0,694475428;0,405999988;0,458000004;-0,588;0,848730814
0,69950887;0,351000011;0,377999991;-0,512000024;0,726793661
0,704542178;0,291000009;0,324000001;-0,294;0,52544553
0,709575428;0,196999997;0,241999999;-0,234999999;0,390637937
0,714608659;0,170000002;0,085000001;-0,074000001;0,203963234
0,71964212;0,143000007;-0,064000003;0,112000003;0,192585054
0,724675096;0,201000005;-0,372000009;0,088;0,431890042
0,729708327;0,163000003;-0,521000028;0,090000004;0,553272112
0,734741814;-0,006;-0,787;0,030999999;0,787633164
0,739775044;-0,165999994;-0,907999992;-0,218999997;0,948673275
0,744808338;-0,177000001;-1,11500001;-0,163000003;1,140667797
0,749841569;-0,31400001;-1,136000037;0,004;1,178604298
0,754874799;-0,386999995;-1,057999969;-0,066;1,128489667
0,75990826;-0,479000002;-1,042999983;0,008;1,147760413
0,764941487;-0,526000023;-1,090999961;-0,016000001;1,211285655
0,769974795;-0,479999989;-0,984000027;0,085000001;1,098126151
0,775008005;-0,453000009;-0,883000016;0,067000002;0,994679364
0,780041236;-0,416000009;-0,99000001;0,115000002;1,079991216
0,785074467;-0,402999997;-0,845000029;0,123999998;0,944356948
0,790107877;-0,221000001;-0,745999992;0,097000003;0,784070143
0,795141107;-0,172999993;-0,601000011;0,092;0,632134488
0,800174439;-0,247999996;-0,463999987;0,259000003;0,586413666
0,80520767;-0,192000002;-0,381999999;0,361999989;0,560207097
0,81024091;-0,149000004;-0,279000014;0,404000014;0,513086757
0,815274371;-0,123000003;-0,177000001;0,275999993;0,350191373
0,820307583;-0,045000002;-0,105999999;0,317000002;0,33726844
0,825340814;-0,035999998;-0,090000004;0,298000008;0,313368801
0,83037413;-0,039999999;-0,150999993;0,137999997;0,208434635
0,835407361;-0,107000001;-0,108999997;0,108000003;0,187066834
0,840440612;-0,074000001;-0,141000003;-0,023;0,16089127
0,845473843;0,01;-0,263999999;-0,192000002;0,326588426
0,850507308;-0,066;-0,333000004;-0,361999989;0,49627512
0,855540539;-0,158999994;-0,280000001;-0,596000016;0,677419381
0,86057377;-0,119999997;-0,237000003;-0,698000014;0,746842032
0,865607059;-0,159999996;-0,164000005;-0,746999979;0,781348174
0,87064052;-0,145999998;-0,145999998;-0,893999994;0,917533644
0,875673525;-0,246000007;-0,112000003;-1,100000024;1,132722409
0,880706756;-0,229000002;0,006;-1,088999987;1,112833308
